id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19178082,Big nice apartment - 20 min walking behind Palace,17978355,Geir Atle,,Frogner,59.92703062,10.72733202,Entire home/apt,1218,2,29,11/11/2018,1.78,1,1
19185590,Hip Flat with sunny balcony with hammock,134038928,Christen,,Sagene,59.93962533,10.75981009,Entire home/apt,753,3,2,07/08/2017,0.12,12,0
19188599,Artistic apartment with cool feeling,134038928,Christen,,Grünerløkka,59.92904022,10.76331488,Entire home/apt,846,3,10,14/08/2017,0.58,12,0
19189731,Super central and unique apartment with terrace,3739591,Johannes,,St. Hanshaugen,59.92816107,10.73335196,Entire home/apt,651,3,2,10/09/2017,0.14,5,0
19190118,Nice and quiet place  in Oslo,134233885,Xiaoyi,,Nordre Aker,59.95241585,10.7435406,Private room,499,3,7,18/04/2018,0.4,1,0
19190369,Beautiful apart for couples in hip area w. balcony,134038928,Christen,,Grünerløkka,59.92772998,10.76398104,Entire home/apt,677,3,0,,,12,0
19195826,2 bedroom at Tjuvholmen,89782856,Haakon,,Frogner,59.91018616,10.72432115,Entire home/apt,1497,2,39,28/10/2018,2.34,1,333
19201366,Family friendly close to the sea and city,10753664,Ingrid Elisabeth,,Søndre Nordstrand,59.84515339,10.79597761,Entire home/apt,651,2,8,10/08/2018,0.5,1,0
19205438,Svært sentral leilighet i Oslo,97222434,Holger,,Grünerløkka,59.9198225,10.75143305,Entire home/apt,398,1,14,16/09/2018,0.86,1,11
19206367,Charming apartment in the heart of Grunerløkka,63834546,Maria,,Grünerløkka,59.91864241,10.76683735,Entire home/apt,651,3,7,17/08/2018,0.44,1,47
19207507,Anna's place,115978590,Kari,,Grünerløkka,59.93335211,10.78632464,Entire home/apt,998,5,1,20/07/2017,0.06,1,0
19208780,Modern & spacious apartment in the heart of Oslo,27310172,Lucy,,St. Hanshaugen,59.92437276,10.73535438,Entire home/apt,846,1,10,29/10/2018,3.75,1,42
19209919,SUPER CENTRAL OSLO BEAUTIFUL APARTMENT,84739248,Carlos Fernando,,Grünerløkka,59.9218337,10.75821444,Entire home/apt,820,1,33,15/08/2018,1.96,2,0
19216390,Loft apartment with 360° city view by Bogstadveien,32958769,Pilar,,Frogner,59.9258599,10.72486884,Entire home/apt,1100,2,2,05/08/2018,0.14,1,179
