id,host_id,host_name,room_type,price,minimum_nights
220,1797197,Hakon,Entire home/apt,550,2
221,1801942,Anette & Terje,Entire home/apt,1514,1
222,1805117,Mona,Private room,364,1
223,1805117,Mona,Entire home/apt,998,1
224,1805231,Emil,Entire home/apt,423,2
225,1807903,Angie,Entire home/apt,702,2
226,1823958,Marie & Erlend,Entire home/apt,1548,7
227,1824435,Goga,Entire home/apt,668,1
228,1824435,Goga,Private room,398,1
229,1824435,Goga,Shared room,296,1
230,1824435,Goga,Private room,499,1
231,1824435,Goga,Entire home/apt,694,1
232,1827350,Heidi,Entire home/apt,956,7
233,1838742,Ida,Entire home/apt,567,4
234,1843054,Simon,Entire home/apt,491,2
235,1857338,Ann-Magritt,Entire home/apt,1599,2
236,1865056,Margrethe,Entire home/apt,846,3
237,1875826,David,Entire home/apt,939,1
238,1875826,David,Private room,423,1
239,1876004,Victoria,Entire home/apt,897,4
240,1877127,Tone,Entire home/apt,981,2
241,1879776,Madeleine,Entire home/apt,499,2
242,1882110,Marthe,Entire home/apt,1015,1
243,1882110,Marthe,Private room,338,1
244,1882110,Marthe,Private room,304,1
245,1893750,Berit,Private room,406,1
246,1901621,Mari,Entire home/apt,448,2
247,1904464,Ragnhild,Private room,499,1
248,1913412,Nada,Entire home/apt,1387,2
249,1916927,John L.,Private room,203,2
250,1919453,Julie,Private room,804,1
251,1921646,Ingvild,Entire home/apt,660,4
252,1932290,Ann-Elin,Private room,474,1
253,1933196,Nils,Entire home/apt,1159,2
254,1934991,Christoffer And Hanne,Entire home/apt,1548,6
255,1935720,Ida,Entire home/apt,507,7
256,1943899,Kjartan,Entire home/apt,998,2
257,1966793,Parisa,Entire home/apt,702,3
258,1970613,Angelica,Entire home/apt,702,4
259,1976674,Hanne,Entire home/apt,846,3
260,1986686,Hanne,Entire home/apt,651,3
261,1987486,Hans Petter,Entire home/apt,939,1
262,1993962,ýýystein,Entire home/apt,448,1
263,2000939,Hilde,Private room,753,2
264,2000939,Hilde,Entire home/apt,651,1
265,2000939,Hilde,Entire home/apt,651,2
266,2000939,Hilde,Private room,448,1
267,2000939,Hilde,Entire home/apt,727,1
268,2000939,Hilde,Entire home/apt,668,2
269,2000939,Hilde,Private room,296,1
